# 3N PWIA per-nucleon ratios vs alpha3N
# samples: events/pwia_q42 (100M events each; sigma_CM = 0.15 GeV
#   and internal-momentum cut k > 0.25 GeV/c for ALL nuclei)
# Ebeam = 10.6 GeV, theta_e in [11,12] deg, Q^2 in [4.1,4.3] GeV^2
# (cuts applied at generation), raw-weight outlier cut w <= 1e-9
# R = [sigma(A)/A] / [sigma(4He)/4]; err = weighted-MC statistical
# nan = bin failed min-statistics requirement (>= 20 raw events
#   in both numerator and denominator)
#
#   alpha3N   R(12C/4He)        err   R(6Li/4He)        err
     1.1655      0.39314    0.01374      0.81181    0.02941
     1.1867      0.39115    0.00437      0.80949    0.00920
     1.2080      0.39765    0.00296      0.80393    0.00591
     1.2293      0.39799    0.00227      0.80640    0.00464
     1.2506      0.39905    0.00177      0.80269    0.00364
     1.2719      0.38768    0.00141      0.78493    0.00284
     1.2932      0.38504    0.00121      0.77815    0.00245
     1.3145      0.38347    0.00110      0.77403    0.00220
     1.3357      0.38201    0.00101      0.77332    0.00206
     1.3570      0.38275    0.00098      0.77529    0.00197
     1.3783      0.38802    0.00097      0.78574    0.00196
     1.3996      0.38730    0.00096      0.78967    0.00195
     1.4209      0.39418    0.00098      0.80788    0.00202
     1.4422      0.39781    0.00101      0.81693    0.00208
     1.4635      0.40517    0.00110      0.83794    0.00227
     1.4847      0.41611    0.00120      0.86397    0.00246
     1.5060      0.42685    0.00130      0.89137    0.00269
     1.5273      0.44545    0.00145      0.93244    0.00300
     1.5486      0.46707    0.00164      0.97420    0.00346
     1.5699      0.48979    0.00191      1.02941    0.00392
     1.5912      0.51126    0.00208      1.07548    0.00434
     1.6125      0.54285    0.00249      1.13104    0.00503
     1.6337      0.56915    0.00278      1.17739    0.00571
     1.6550      0.61420    0.00330      1.25637    0.00674
     1.6763      0.65130    0.00392      1.32862    0.00779
     1.6976      0.70048    0.00790      1.38351    0.01337
     1.7189      0.75866    0.00838      1.50460    0.01333
     1.7402      0.79801    0.01368      1.59261    0.02727
     1.7614      0.90006    0.00969      1.75271    0.01624
     1.7827      0.97040    0.01026      1.90915    0.03218
     1.8040      1.08982    0.01704      2.06319    0.03224
     1.8253      1.16765    0.01827      2.16642    0.02923
     1.8466      1.32958    0.02653      2.46561    0.07806
     1.8679      1.41613    0.03598      2.49265    0.06037
     1.8892      1.66258    0.03679      2.86079    0.07835
     1.9104      1.60138    0.05884      2.83345    0.11607
     1.9317      1.78623    0.17244      2.80236    0.15553
     1.9530      1.78310    0.05871      3.16240    0.10265
     1.9743      2.08177    0.08000      3.32253    0.12410
     1.9956      2.20350    0.12519      3.47934    0.15085
