# 3N PWIA per-nucleon ratios vs alpha3N
# samples: events/pwia_q42 (100M events each; sigma_CM = 0.15 GeV
#   and internal-momentum cut k > 0.25 GeV/c for ALL nuclei)
# Ebeam = 10.6 GeV, theta_e in [11,12] deg, Q^2 in [4.1,4.3] GeV^2
# (cuts applied at generation), raw-weight outlier cut w <= 1e-9
# x_Bj = Q^2/(2 m_N q0) > 1.8 (applied at plot time)
# R = [sigma(A)/A] / [sigma(4He)/4]; err = weighted-MC statistical
# nan = bin failed min-statistics requirement (>= 20 raw events
#   in both numerator and denominator)
#
#   alpha3N   R(12C/4He)        err   R(6Li/4He)        err
     1.4565      0.41079    0.00492      0.84609    0.01013
     1.4706      0.40757    0.00142      0.84553    0.00295
     1.4846      0.41760    0.00149      0.86698    0.00304
     1.4987      0.42258    0.00155      0.88253    0.00321
     1.5128      0.43099    0.00165      0.90115    0.00342
     1.5268      0.44584    0.00178      0.92979    0.00368
     1.5409      0.45956    0.00193      0.95866    0.00400
     1.5550      0.47117    0.00209      0.99115    0.00459
     1.5690      0.49202    0.00235      1.03094    0.00470
     1.5831      0.50116    0.00247      1.05086    0.00502
     1.5971      0.51860    0.00266      1.09433    0.00560
     1.6112      0.54275    0.00296      1.12912    0.00605
     1.6253      0.55943    0.00340      1.16440    0.00691
     1.6393      0.57855    0.00359      1.18914    0.00717
     1.6534      0.61155    0.00404      1.24548    0.00806
     1.6675      0.63904    0.00448      1.30505    0.00930
     1.6815      0.66247    0.00501      1.35285    0.00995
     1.6956      0.69308    0.01033      1.37116    0.01737
     1.7096      0.73731    0.01007      1.46036    0.01456
     1.7237      0.76782    0.00940      1.51572    0.01803
     1.7378      0.77834    0.01842      1.55272    0.03656
     1.7518      0.87187    0.01093      1.71568    0.01884
     1.7659      0.91368    0.01135      1.78928    0.02166
     1.7799      0.95626    0.01245      1.88850    0.03650
     1.7940      1.04202    0.01621      1.99779    0.04440
     1.8081      1.11382    0.02224      2.10680    0.04255
     1.8221      1.13412    0.01897      2.13325    0.03604
     1.8362      1.28341    0.03038      2.38494    0.09210
     1.8503      1.33765    0.03488      2.42648    0.04594
     1.8643      1.36524    0.04400      2.39493    0.07401
     1.8784      1.56925    0.04276      2.71481    0.06964
     1.8924      1.70597    0.04433      2.95193    0.10869
     1.9065      1.55339    0.07458      2.74957    0.14073
     1.9206      1.81863    0.20820      2.82095    0.18720
     1.9346      1.70527    0.08212      2.99560    0.15121
     1.9487      1.68441    0.06260      3.09754    0.12511
     1.9628      2.09001    0.08665      3.20957    0.10871
     1.9768      2.00805    0.10690      3.34243    0.17559
     1.9909      2.22701    0.13361      3.64592    0.17234
     2.0049      2.02256    0.18673      3.53462    0.44422
